"Plot Title: girl140903"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10049622, SEN S/N: 10049622)","Batt, V (LGR S/N: 10049622, SEN S/N: 10049622)"
1,09/03/14 09:00:00  AM,17.272,3.04
2,09/03/14 10:00:00  AM,17.486,3.04
3,09/03/14 11:00:00  AM,21.103,3.04
4,09/03/14 12:00:00  PM,23.641,3.06
5,09/03/14 01:00:00  PM,29.290,3.06
6,09/03/14 02:00:00  PM,9.188,3.06
7,09/03/14 03:00:00  PM,9.114,3.06
8,09/03/14 04:00:00  PM,9.040,3.06
9,09/03/14 05:00:00  PM,8.965,3.06
10,09/03/14 06:00:00  PM,8.841,3.06
11,09/03/14 07:00:00  PM,8.767,3.06
12,09/03/14 08:00:00  PM,8.668,3.06
13,09/03/14 09:00:00  PM,8.568,3.06
14,09/03/14 10:00:00  PM,8.419,3.06
15,09/03/14 11:00:00  PM,8.319,3.06
16,09/04/14 12:00:00  AM,8.170,3.06
17,09/04/14 01:00:00  AM,8.045,3.06
18,09/04/14 02:00:00  AM,7.920,3.06
19,09/04/14 03:00:00  AM,7.770,3.06
20,09/04/14 04:00:00  AM,7.619,3.06
21,09/04/14 05:00:00  AM,7.469,3.06
22,09/04/14 06:00:00  AM,7.318,3.04
23,09/04/14 07:00:00  AM,7.167,3.04
24,09/04/14 08:00:00  AM,7.091,3.04
25,09/04/14 09:00:00  AM,7.116,3.04
26,09/04/14 10:00:00  AM,7.192,3.04
27,09/04/14 11:00:00  AM,7.368,3.04
28,09/04/14 12:00:00  PM,7.619,3.06
29,09/04/14 01:00:00  PM,8.170,3.06
30,09/04/14 02:00:00  PM,8.419,3.06
31,09/04/14 03:00:00  PM,8.568,3.06
32,09/04/14 04:00:00  PM,8.693,3.06
33,09/04/14 05:00:00  PM,8.767,3.06
34,09/04/14 06:00:00  PM,8.817,3.06
35,09/04/14 07:00:00  PM,8.817,3.06
36,09/04/14 08:00:00  PM,8.767,3.06
37,09/04/14 09:00:00  PM,8.643,3.06
38,09/04/14 10:00:00  PM,8.494,3.06
39,09/04/14 11:00:00  PM,8.394,3.06
40,09/05/14 12:00:00  AM,8.270,3.06
41,09/05/14 01:00:00  AM,8.145,3.06
42,09/05/14 02:00:00  AM,8.020,3.06
43,09/05/14 03:00:00  AM,7.920,3.06
44,09/05/14 04:00:00  AM,7.770,3.06
45,09/05/14 05:00:00  AM,7.670,3.04
46,09/05/14 06:00:00  AM,7.519,3.04
47,09/05/14 07:00:00  AM,7.393,3.04
48,09/05/14 08:00:00  AM,7.343,3.04
49,09/05/14 09:00:00  AM,7.368,3.04
50,09/05/14 10:00:00  AM,7.419,3.04
51,09/05/14 11:00:00  AM,7.569,3.04
52,09/05/14 12:00:00  PM,7.845,3.04
53,09/05/14 01:00:00  PM,8.369,3.06
54,09/05/14 02:00:00  PM,8.693,3.06
55,09/05/14 03:00:00  PM,8.916,3.06
56,09/05/14 04:00:00  PM,9.114,3.06
57,09/05/14 05:00:00  PM,9.287,3.06
58,09/05/14 06:00:00  PM,9.386,3.06
59,09/05/14 07:00:00  PM,9.410,3.06
60,09/05/14 08:00:00  PM,9.386,3.06
61,09/05/14 09:00:00  PM,9.262,3.06
62,09/05/14 10:00:00  PM,9.163,3.06
63,09/05/14 11:00:00  PM,9.064,3.06
64,09/06/14 12:00:00  AM,8.941,3.06
65,09/06/14 01:00:00  AM,8.841,3.06
66,09/06/14 02:00:00  AM,8.717,3.06
67,09/06/14 03:00:00  AM,8.618,3.06
68,09/06/14 04:00:00  AM,8.494,3.06
69,09/06/14 05:00:00  AM,8.394,3.04
70,09/06/14 06:00:00  AM,8.270,3.04
71,09/06/14 07:00:00  AM,8.170,3.04
72,09/06/14 08:00:00  AM,8.145,3.04
73,09/06/14 09:00:00  AM,8.170,3.04
74,09/06/14 10:00:00  AM,8.245,3.04
75,09/06/14 11:00:00  AM,8.369,3.04
76,09/06/14 12:00:00  PM,8.618,3.06
77,09/06/14 01:00:00  PM,9.188,3.06
78,09/06/14 02:00:00  PM,9.509,3.06
79,09/06/14 03:00:00  PM,9.731,3.04
80,09/06/14 04:00:00  PM,9.879,3.04
81,09/06/14 05:00:00  PM,10.001,3.04
